tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,sentiment
5.70E+17,positive,1,,,American,,whague,,0, @ AmericanAir Awesome customer service on  # 390 from rdu .  They snuck my wife a warm cookie .  Thx ! ,"[41.9774863, -87.90414419]",2/22/2015 17:53,60093,Central Time (US & Canada),1
5.68E+17,neutral,1,,,United,,RobPapa1,,0, @ united can you send me another confirmation email ? ,,2/17/2015 13:11,Ravens Nation  51814,Atlantic Time (Canada),1
5.69E+17,negative,1,Flight Attendant Complaints,1,US Airways,,CalAmor07,,0, @ USAirways  @ rylietolbert15 wow you would not say,,2/21/2015 17:30,Sapere Aude,Eastern Time (US & Canada),0
5.70E+17,negative,1,longlines,0.3523,US Airways,,MSFHQ,,0," @ USAirways finally spoke with someone .  I have to email the refund dept .  I love you guys, but 6 hours in line to be told no dice sucks . ",,2/23/2015 19:11,,Quito,0
5.70E+17,neutral,1,,,United,,nicoleleigh85,,0, @ united I already did . ,,2/23/2015 6:21,Sheboygan,,1
5.70E+17,negative,1,Flight Booking Problems,0.6667,Delta,,BillChurchMedia,,0," @ JetBlue When I got your alert, I immediately started looking to rebook .  But we only had 11 minutes from reFlight Booking Problems to catch a flight to SRQ . ",,2/22/2015 11:14,"Sarasota, FL",Pacific Time (US & Canada),0
5.69E+17,negative,1,Late Flight,1,United,,tcar,,0, @ united I am not as sure as you are .  ,,2/19/2015 12:30,"Oak Park, IL",Central Time (US & Canada),0
5.69E+17,positive,0.7081,,,Virgin America,,stefanpinto,,0, @ VirginAmerica Like ,,2/21/2015 11:10,"Los Angeles, CA",Pacific Time (US & Canada),1
5.68E+17,negative,1,Damaged Luggage,1,United,,christruncer,,0," @ united so, not only were you Late Flight, you broke my luggage handle .  You paying for a new one ?  ",,2/17/2015 15:34,Washington DC,Eastern Time (US & Canada),0
5.68E+17,negative,0.6468,Customer Service Issue,0.6468,Southwest,,TJGoertz,,0, @ SouthwestAir Trying to get through by phone to confirm that funds from a Cancelled Flightled reservation can still be used in the future .  Can u help ? ,,2/17/2015 9:02,Toronto,Eastern Time (US & Canada),0
5.69E+17,negative,1,Customer Service Issue,0.6714,United,,aaron_lawlor,,1," @ united  # customerservice at  @ Dulles_Airport could not be worse .  I get the bad weather, but this is awful . ",,2/21/2015 17:38,"Vernon Hills, IL",Central Time (US & Canada),0
5.70E+17,negative,1,Late Flight,0.6801,American,,LeoSouza1977,,0," @ AmericanAir flight 45 JFK - LAS .  First the catering was Late Flight, the .  No push back crew .  2hrs delay . ",,2/23/2015 1:13,New York City,Eastern Time (US & Canada),0
5.69E+17,positive,0.6561,,,United,,d_goodspeed,,0,・E・E @ united :   @ d_goodspeed We will follow up with our Maintenance team .  Thanks for the tweet .   ^ KP・E・E THANK YOU !   United Cares ! ,"[33.63992689, -84.44705534]",2/20/2015 13:25,USA,Central Time (US & Canada),1
5.69E+17,positive,1,,,Southwest,,susan_cary,,0, @ SouthwestAir great flight got us back on time !   Thanks,,2/20/2015 17:51,,,1
5.70E+17,negative,1,Customer Service Issue,1,US Airways,,thisAnneM,,0, @ usairways  @ BarclaycardUS 1 hr wait so far for customer service .  yes bad weather but do air traffic controllers answer your phones ?  !  ?  ? ,,2/22/2015 12:53,Philadelphia,Atlantic Time (Canada),0
5.68E+17,neutral,1,,,United,,ssegraves,,0, @ United is it possible to upfare to P a segment where I have a GPU waitlisted ? ,,2/17/2015 17:17,PDX / LGA / TXL / ・E・E・E,Central Time (US & Canada),1
5.70E+17,neutral,0.7145,,0,American,,softwaredoug,,0, @ AmericanAir I wrote down the evoucher number .  I got rid of the voucher when I purchased air fair,,2/23/2015 11:03,"Charlottesville, VA",Hawaii,1
5.70E+17,negative,0.6296,Customer Service Issue,0.6296,United,,sothenbethsaid,,0," @ united I hadn ' t filed a refund claim as I was told there was no charge by your DM .  This is disputed by my bank, hence why I would like ( 1 / 2 ) ",,2/24/2015 2:57,Nottingham,London,0
5.70E+17,negative,0.6563,Customer Service Issue,0.3437,US Airways,,putajerseyon,,0," @ usairways really need help asap, so please make it quick .  Thx . ",,2/23/2015 11:18,,Eastern Time (US & Canada),0
5.69E+17,positive,1,,,United,,JerikaPhelps,,0, @ united Anna Palm Springs gate 19  deserves a medal !  Handled 30 ppl missing flights like a pro ! ,"[33.82063563, -116.50768141]",2/19/2015 21:53,,,1
5.69E+17,positive,0.3491,,0,US Airways,,jdbwaffles,,0,"・E・E @ USAirways :   @ jdbwaffles We are excited to have you fly with us, JB !  When will this be ? ・E・E Spring Break  !  !  ! ",,2/19/2015 21:09,,,1
5.68E+17,positive,0.3516,,0,Virgin America,,onerockgypsy,,0," @ VirginAmerica so loyal that I am driving to  # NYC from  # PA, to fly Virgin,  since you cut  # Philly flights  ;  ) ",,2/17/2015 11:38,next city,Pacific Time (US & Canada),1
5.68E+17,negative,1,Flight Booking Problems,0.6985,Southwest,,MikiLuJames,,0, @ SouthwestAir needed my flight info so I can add my rapid rewards to my flight  .  .  .  First time I have flown with SW  -  will not do it again  # mad,,2/17/2015 16:29,,,0
5.69E+17,negative,1,Customer Service Issue,1,US Airways,,stephenrodrick,,1," @ USAirways Congrats, you have just lost a customer for good .  When I made a United weather change, free / 5 min .  You guys 2 hrs on hold  &   $ 25 . ",,2/20/2015 22:11,,Arizona,0
5.70E+17,negative,1,Bad Flight,0.6291,Southwest,,Doanthatsme,,0," @ SouthwestAir extremely frustrating travel experience in Denver !  Instead of landing in SEA on Saturday, now it is Monday afternoon ! ",,2/22/2015 13:47,no where,Pacific Time (US & Canada),0
5.70E+17,neutral,0.6939,,,Delta,,kbosspotter,,0, @ JetBlue well duh .  My grandfather just got hired as a TSA agent and currently at PWM ! ,,2/23/2015 11:50,Logan International Airport,Atlantic Time (Canada),1
